,Text,oh_label,type_label
82,@ummsuhaym @logicalmind11 Quran 8.12 would be a good example of terrorism. http://t.co/vonYOAtpfk,1,racism
83,@zakirnaikirf Saying that #Islam is a way of life means that human freedom is forbidden and the inhuman laws of a criminal must be followed.,1,racism
84,"@asem_1994 Islam only served to slow down science. The few discoveries by Muslims were despite Islam, not because of Islam.",1,racism
85,@asem_1994 Mohammed was a slave owner and the Quran allows slavery. So ISIS returns to slavery. http://t.co/aVPyjTEK1Z,1,racism
86,"@Alfonso_AraujoG @ardiem1m @MaxBlumenthal @oldkhayyam Self genociadal, self serving liars.",1,racism
87,RT @MaxAbrahms: Islamic State members say they're following Islam while non-Muslims who don't even read up on religion insist they're not.,1,racism
88,@Saudi_Castro @donttreadonme65 @zaki_safar Filthy Islam created them and is funding them.,1,racism
89,RT @taslimanasreen: All religions are not the same. Islam is more violent than other religions.,1,racism
90,"@alihadi68 @rudoren @nytimes Hey, at least he doesn't murder people for apostacy and blasphemy like your tribe of scum.",1,racism
91,"RT @WolfSpirit2013: Obama's peaceful Islam. Islam that ""no one"" is allowed to challenge, even if it means muslims threatening your life. ht…",1,racism
92,@BDSSupporter Israel is zero threat to world peace. Every Muslim nation on the planet is a threat to world peace. http://t.co/nYbRn19Xat,1,racism
93,@cdnKhadija @rfrankh53 @98Halima @BilalIGhumman @johnnygjokaj You do understand that Mohammed was a sexist? http://t.co/LQAdLVAXCw,1,racism
94,@YusufPeaceful @Clashoftherats @tummala82 @IndyVoices So now you Taquiyya liars deny what is explicit in the Quran. http://t.co/u1r2GhUon9,1,racism
95,@truaemusic @mattybboi83 @Number10gov Child abuse is illegal in western culture. It is accepted in Islamic cultures because their prophet...,1,racism
96,"RT @stardust193: Australian Preacher Incites to Jihad against the Jews: ""They Are the Most Evil Creatures of Allah"" #Australia #Islam https…",1,racism
97,@MaxBlumenthal The Prophet Mohammed beheaded 600 Jews for not being loyal to him. And all the Muslims love Mohammed. So what's the problem?,1,racism
98,"@dankmtl And the number of Christians in Israel is increasing, while in all Muslim countries it is shrinking.",1,racism
99,@buttercupashby @MaDaSaHaTtEr_17 Mohammed was a rapist who raped young girls and approved of the rape of slaves.,1,racism
100,@WitnessToAllah The poor women do it because they marry a Muslim man and are pressured into it. Men do it in prison. It's a criminal's relig,1,racism
101,Saudi cleric believes earth does not revolve around sun. There must be 50 ways to return to the 7th century with #Islam as your expert guide,1,racism
102,"@edgeofthesandbx @batchelorshow @FearDept I'm talking total extermination, bragged about right there in the book.",1,racism
103,@reza_rahman Claiming that Islam is not a problem because states that are Islamic repress their citizens is a contradiction of ideas.,1,racism
104,@jerZboyUSA @theblaze The reason these politically correct idiots will never solve problem is because they won't acknowledge that it's Islam,1,racism
105,"@_Ibn_Latif @Colonel_Shami The prophet Mohammed used catapults on cities, killing women and children. So you just called him a coward.",1,racism
106,"RT @amronsomar: Well, Well, looks like one of the so-called “innocent” Muslim students who was gunned down had some very pro-Islamic http:/…",1,racism
107,@ameytahl Leave it to some microbrain to get sanctimonious by finding a way to play the race card.,1,racism
108,@AAlwuhaib1977 @dankmtl @PeaceNotHate_ It's great that you provided Arraf's name. Now I understand how these anti Semitic orgs. function.,1,racism
109,@loveconcursall @ottomanland But look at the reality disconnect. Burak says he is for freedom and against all slavery while at the ...,1,racism
110,"@jihadiAA Nobody gives a fuck about the streets when you are practicing genocide, murder, and slavery, microbrain.",1,racism
111,@End_Bigotry @chezkig1 @edulixavot34 @georgegalloway @AbbsWinston @Bruciebabe @MaxBlumenthal Up your ass terrorist bitch.,1,racism
112,@discerningmumin Oh please. Lecture me about porn when Muslims are the worlds biggest porn consumers and Islamic heaven is a brothel.,1,racism
113,"@coralivesey @PTISalarKhan @georgegalloway So the entire nation of Saudi should be punnished, since they don't allow churches or bibles.",1,racism
114,@truaemusic @mattybboi83 @Number10gov What matters is that people like you are trying to lay a guilt trip on us while ignoring the truth.,1,racism
115,"@Kaya786 @fai3an_H Islam is not a race, microbrain, it is a death cult.",1,racism
116,@akh_fuaadh @ToAllahWeReturn Manipulative and threatening BS.  Proving that people have to be intimidated into following the god of terror.,1,racism
117,@Vandaliser @sajid_fairooz @IsraeliRegime Degrassie is not a historian.,1,racism
118,@ummahwitness The Muslim pedophiles do this all the time. It's so common and accepted that it's not even news.,1,racism
119,"@discerningmumin So if you are against slavery, you cannot be a Muslim. So why are you crying about slavery when the Quran approves it?",1,racism
120,"@aymannathem What is wrong with that, considering how the Sunni Arabs have been exterminating everyone else for 1400 years.",1,racism
121,@DawlatnaMansura The next step in warfare is the ground drone. A robot that will walk up to the Jihadi and blow out his brains.,1,racism
122,RT @tummala82: @Clashoftherats @YusufPeaceful @IndyVoices @vileislam #Quran is full of nonsense &amp; I proved it. I rest my case. http://t.co/…,1,racism
123,"@yousufpoosuf @HillaryGuess Muslims are fighting Jews, Hindus, Buddhists, Christians, atheists and animists somewhere in the world.",1,racism
124,"@Ali_Gharib @NuritBaytch In what way is Blumenthal Jewish, other than by birth. Answer the question.",1,racism
125,"@MoAnsar @MaxBlumenthal Probably bcus only fools &amp; idiots take seriously the ""blame someone else for terrorism"" industry. Islam is to blame.",1,racism
126,"@zakirnaikirf Fuck Allah, the phony god of Islam and terrorism.  Outlaw #Islam now.",1,racism
127,@New_Babylonia This is propaganda. The Shia militia are religious fanatics and fascists just like ISIS - only slightly less extreme.,1,racism
128,"@SirajZarook @BilalIGhumman @OdiniaInvictus @IsraeliRegime Jesus didn't murder, rape, rob, go to war or own slaves like Mohammed.",1,racism
129,"@truaemusic You are defending the prophet Mohammed and he was a murderer, sexist, imperialist and bigot.",1,racism
130,RT @CharlieDestries: Bill Maher Doubles Down on Islam: ‘Terrorists and the Mainstream Share A Lot of These Bad Ideas’ http://t.co/uQcmBQo1H…,1,racism
131,@truaemusic And the Christian world got rid of slavery by itself.The Muslim world was pressured into getting rid of it and now returns to it,1,racism
132,@halalcunty @biebervalue @liamxkiwi @greenlinerzjm @halalflaws I know that your husband can beat you there and there is nothing you can do.,1,racism
133,"@discerningmumin Because while other groups can evolve, the violence of the Quran and Hadith prevent Islam from ever being a human religion.",1,racism
134,"@LLiraqi I guess if you call murder, rape, slavery, hatred, bigotry and sexism beautiful, then it is beautiful.",1,racism
135,@MaxBlumenthal Here are the verses from Quran and Hadith proving genocidal aim of the Muslim biggots. http://t.co/pF8iwpdb1d,1,racism
136,"RT @AmyMek: #IslamLOVESWomen Muslim files suit AGAINST law banning child marriage,""OFFENDS Islam"" http://t.co/bPPiSINSS8 #IWD2015 http://t.…",1,racism
137,@DianH4 If Muslims ever produced a decent leader the world would be overjoyed to accept him.,1,racism
138,@buellerishere Who cares. ISIS does what Mohammed did. Tens of thousands also do and have joined him. Muslims crazy. http://t.co/JXkY2pdJ93,1,racism
139,@Qoloob4 @Vandaliser @sajid_fairooz @IsraeliRegime They don't misinterpret and most Muslims are extremists. http://t.co/UjA1vWVQ3y,1,racism
140,RT @Benfrancisallen: It hasn't been a good few weeks for #ISIS. A new front has opened up in #Sinjar and they're about to lose the battle f…,1,racism
141,"RT @peddoc63: Not High horse🐎high alert⚠
️Will Obama defend Christianity &amp; America or just ISLAM♨️@RedNationRising @gmiller1952 http://t.co…",1,racism
142,"@MaxBlumenthal @mami_mermelada @GrahamDavidA @JeffreyGoldberg Hamas does, however, throw their political opponents off roof tops.",1,racism
143,@harmlesstree2 Again you are an idiot. The Muslims were thugs. They quickly figured out that if they forced everyone to convert there..,1,racism
144,@Abu_Talal2 But Islam has no truth. Every word is a lie.,1,racism
145,@watan71969 A shit sucking Muslim bigot like you wouldn't recognize history if it crawled up your cunt.You think photoshop is a truth machin,1,racism
146,@dankmtl @PeaceNotHate_ Mohammed stated clearly in the Hadith that he wanted Muslims to breed like rats so he could take over the world.,1,racism
147,@DawlatnaMansura He says while immersed in Kufiri invented and built devices.,1,racism
148,"@Ceff00 @JosephIsVegan @SumbelinaZ @IronmanL1 @Hatewatch Muslims are not a race, they are a murder cult. http://t.co/CZDlhBjyw5",1,racism
149,@halalflaws @biebervalue @greenlinerzjm What your prophet said was that women are stupid and corrupt. #Islam http://t.co/gmiSHq8QaG,1,racism
150,@depressedfuck1 @CompoundMixture @CruisingBye @SuperiorMenArmy In know more about the religion than you. And it is pure evil.,1,racism
151,"@SirajZarook @OdiniaInvictus @BilalIGhumman @IsraeliRegime Because of Muslim hatred there will soon be no Jews, Christians, Yezidis in ME.",1,racism
152,"@MadDr11 @MaxBlumenthal No Israel is containing Muslim violence through the only thing Muslims respond to, violence.",1,racism
153,"@mir576607189 Looks like a slum, as people are forced to go to mosque at gun point. Daesh are creating hundreds of thousands of atheists.",1,racism
154,@BDSSupporter And here is the list of Jewish Nobel Laureats. They contribute about 400 times as much as Muslims. Muslims contribute hate.,1,racism
155,@CamilleHughes16 @edbarber101658 @_Watch_Observe_ Then export all the non citizen Imams. Put cameras in the remaining Mosques.,1,racism
156,@Pyrrha108 I agree.  He is just like the prophet Mohammed.,1,racism
157,"@harun_yahya Islam declared war on all humanity 1400 years ago and this piece of dog manure, Oktar, is talking about others intimidation.",1,racism
158,"@hibach8 But it is a lie.  The religion is a disgusting, terrorist, hate mongering piece of filth.  That has nothing to do with individuals.",1,racism
159,@Lithobolos @PoliticalAnt @ZaibatsuNews So are you saying that the Quran is wrong with this piece of bigotry? http://t.co/oW2W2HPmYZ,1,racism
160,@WithTrish @JRehling Every religion and non religion on the planet is at war with Islam. Every border with a Muslim state is a bloody border,1,racism
161,@AmandaSheils1 @Colonel_Shami The prophet Mohammed was a big murderer. He once beheaded 600 Jews in one day. ISIS does what he did.,1,racism
162,@ajwatamr @YRohaibani Coming from a scum bag that practices religious bigotry. http://t.co/vHY5tXvbfd,1,racism
163,"@SirajZarook No, that is the excuse Mohammed used to rob and murder. He states his genocidal intention here. http://t.co/wWopuMN3xY",1,racism
164,"@KeeganNYC @syedmuhammad555 Why do 2/3 of all Muslims want Sharia, which demands death for homosexuals and apostates? http://t.co/1jE0S98Wmh",1,racism
165,"@gripusa Islam has contributed nothing to humanity but hatred, death, and destruction for a thousand years.",1,racism
166,So Drasko just said he was impressed the girls cooked half a chicken.. They cooked a whole one  #MKR,1,racism
167,@ibnHlophe @eeviewonders @sibanda_tapson @CTFleaMarkets Children grow out of their fairy tales.  Muslims never grow out of theirs.,1,racism
168,As long as we make feel good lectures and demonstrations about freedom of speech we are avoiding the real problem - the violence of Islam.,1,racism
169,"@congressman_aly I know that they force the same sexism, hatred and bigotry on their population that all Islamolunatics do.",1,racism
170,@ExposeFalsehood @arabthomness But this is a good lesson that you can't win in the 21st century with ignorant madrassa rats.,1,racism
171,RT @PeterTownsend7: #muslim #ISIS #Islam No compulsion in religion. Unless you're a kid of course! http://t.co/Va3FBYF6Wp http://t.co/B0AJT…,1,racism
172,"RT @robfit: By time of Crusades, Muslims had already captured two-thirds of the Christian world - http://t.co/IL0pvg49EO http://t.co/jtJ7se…",1,racism
173,@Fitri_Ainnur @epicloser Why should the world care when Islam declared war on all humanity 1400 years ago.,1,racism
174,@LifeInKhilafah No the lies that I tell come directly from the Quran and Hadiths. Like declaration of war on humanity http://t.co/oC5Y5Cb740,1,racism
175,"@ummayman90 Again, you miss the point that god is not interested in military rule, phony frauds like Mohammed who benefit from it are #Islam",1,racism
176,@congressman_aly I know that the Palestinians are a group of murdering terrorists that provide no human rights to their population.,1,racism
177,@_enzk @SumbelinaZ @IronmanL1 @Hatewatch The mess was there long before the US. The entire history of Islam is murder http://t.co/n0oXQ2kkUb,1,racism
178,@obsurfer84 Wrong Jewish tribe microbrain.  The Jews of Khybar had nothing to do with Mohammed.,1,racism
179,@logicalmind11 You can never get rid of the radical Muslims because the Quran and Hadiths will always produce more.,1,racism
180,"@kewldevzzo I don't ""follow"" any god. But if one were to imagine Satan inventing a religion, it would be like Islam.",1,racism
181,@ClassicDCoy @billmaher What - are you stupid.  There is nothing that compares to the inhumanity and barbarity of Islam.,1,racism
182,@WithTrish @JRehling Not nearly to the extent that they went insane over a Mohammed cartoon.,1,racism
183,"@buttercupashby @MaDaSaHaTtEr_17 I take the whole sura, microbrain. You make such statement trying to hide the barbarity of Islam.",1,racism
184,@dankmtl The prophet Mohammed started the hate fest against Jews by driving all three Jewish tribes out of Medina.,1,racism
185,"@truaemusic Islam is not a race, microbrain, it is a religion.  You can always tell a leftist, because when he runs out of arguments he...",1,racism
186,@Alkanz @nslwin Islam is and insult to all mankind. Time to insult the disgusting religion back. http://t.co/doUt0qrmUi,1,racism
187,"@Ammaawah @jm111t Women should have the same sexual rights as me, but Islam says they clearly don't.",1,racism
188,@P_Valerianus @CTFleaMarkets @ibnHlophe @eeviewonders We could deal with the violent fanatics if the texts of Islam weren't producing more.,1,racism
189,@98Halima @johnnygjokaj @cdnKhadija @BilalIGhumman @rfrankh53 The battles were won because Mohammed gave his thugs 80% of what they stole.,1,racism
190,@dawla___account @IronLionHeart Good reason not to practice a religion that declared war on all humanity 1400 years ago.,1,racism
191,"@BilalIGhumman @johnnygjokaj @98Halima @cdnKhadija @rfrankh53 The Muslims attacked Europe 400 years before crusades, microbrain.",1,racism
192,@ldstarr18 @AC360 Islam is worse than the Nazi party ever was.,1,racism
193,@Lithobolos @PoliticalAnt @ZaibatsuNews ...Then suddenly their Muslim neighbors are persecuting them and stealing their property.,1,racism
194,"@98Halima @BilalIGhumman @johnnygjokaj @cdnKhadija @rfrankh53 If you don't want to read a pedo, you have to stop reading the Quran.",1,racism
195,Humanity struggled for hundreds of years to rid itself of the blight of slavery.  Leave it to the filth of #Islam to bring it right back.,1,racism
196,RT @TRobinsonNewEra: Islamic terrorists are only practicing what's taught in Islam.That's the truth and the 'Elephant' in the room which ev…,1,racism
197,@ingyusarms Earthly tyrants want to be feared because for them fear is control and obedience.  The writer of the Quran was unsophisticated.,1,racism
198,@NNdabbour64 And don't talk to me about hatred when you follow the vulgar Quran and Hadiths that are full of hatred.,1,racism
199,"RT @Patriotic_Me: Muslim Immigration Poses Serious National Security Threat
http://t.co/hOTRnVnLCy http://t.co/EZ2JIOpaty",1,racism
200,"@DianH4 @ExposeFalsehood We don't support tyrants, Islam produces nothing but tyrants.  All the Caliphs and Sultans were tyrants.",1,racism
201,@LibyaLiberty @SumbelinaZ You are lying. Most Muslims are still extremists. http://t.co/u7L1uPRN7L,1,racism
202,@UmarMal You sound like an Islamolunatic.,1,racism
203,"@KellyTurner99 Again, airhead, they died because of hate because Islam encourages that hate.",1,racism
204,"@IndyVoices I read the entire Quran and many of the Hadiths, and murdering ""unbelievers"" and forcing Islam on people is exactly what it is.",1,racism
205,"RT @tomesimpson: Our political leaders are worried about offending people’s feelings.  As a result, innocent people have died!  #Islam  #Pa…",1,racism
206,"@scamp_faridxx @cameIzzz The problem was not the communists atheism, but rather their totalitarianism, just like Islam.",1,racism
207,@Love___Egypt @washingtonpost Painting others as inhuman is exactly what the Quran does to non-believers.,1,racism
208,"@SirajZarook @BilalIGhumman @OdiniaInvictus @IsraeliRegime ....are not destructive and inhuman by design, like Islam.",1,racism
209,@alihadi68 @MaxBlumenthal @rudoren @nytimes Your proph beheaded 600 Jewish men &amp; sold the women and children into slavery. And you love him.,1,racism
210,@biebervalue @greenlinerzjm Liar! Katjia was a business woman before there was Islam. Mohammed worked for her and had no choice about it.,1,racism
211,@Love___Egypt @washingtonpost Islam is the murder of 280 million citizens of the earth by scum shouting Allahu Akbar. http://t.co/Bd4iFaNXtq,1,racism
212,@ummayman90 The people who disagreed with #Islam at the time of the pedophile prophet were murdered by him.  It's in the Hadiths.,1,racism
213,"RT @riwired: .@ORehaf Oh No.Do NOT go to ""Islamic Center"" where they beat you down mentally w/double speak &amp; convert you asap! @izrinhariri…",1,racism
214,@lsarsour @abu__ramadi 3 executions? That's about one tenths of a days worth for Islamically correct ISIS.,1,racism
215,@pleeezing @warriorsialkot @akberc 1400 years ago the pedophile prophet declared war on all humanity.  So all humanity should hate Islam.,1,racism
216,@MsIntervention Europe needs to expel their Muslim immigrants.,1,racism
217,RT @DHfromtheV: Christian lady in Pakistan is facing execution for blaspheming the prophet Mohommed. They take Islam serious as hell. No fr…,1,racism
218,@MaxBlumenthal Too stupid. Hamas is a murdering terrorist group that forces Islamist oppression on everyone the can.,1,racism
219,@MaxBlumenthal Islamophobia - fear of this. http://t.co/6nqTUXhW36,1,racism
220,"@DianH4 @rogue_allah Futhermore, Islam is based on theft. Mohammed raised his armies by giving them 4/5 of everything they stole.",1,racism
221,@urgedharry @nyazpolitics @greenlinerzjm If you actually knew about Islam you would know how violent and barbaric http://t.co/cMU60pvE0s,1,racism
222,@harmlesstree2 Like the Ottoman Empire was a pure slave state.,1,racism
223,"RT @AnneBayefsky: Gang-raped Saudi woman gets 200 lashes, jail time. Saudis on UN ""Human Rights"" Council. http://t.co/et8DDsmTrp http://t.c…",1,racism
224,@harmlesstree2 @MaxBlumenthal Then why have all the Jews completely perished from much of the Arabian P when they once had 40% of it.,1,racism
225,@AlalamChannel ISIS continues their big successes against unarmed civilians. They just can't win a fight against anything but families.,1,racism
226,@Bruciebabe @MaxBlumenthal Every Muslim state is a nasty place if you are not a Muslim.,1,racism
227,"@freemedialive Fuck #Islam. Mohammed was a pedophile, murderer, bigot, sexist, rapist, slave trader, caravan robber, and liar.",1,racism
228,"@PhilipMills8 @PsychBarakat @jncatron Outside the Israel conflict, Hamas still beheads gays, does honor killings, throws opponents off roofs",1,racism
229,@MaxBlumenthal @Ajzionts I think your Muslim friends are raping girls around the world. http://t.co/liSKP9U8Uq,1,racism
230,"@LifeInKhilafah For example, Muslims claim Algebra, but the Greeks and Indians were making good progress on Algebra before Mohammed was born",1,racism
231,@halalcunty @biebervalue @liamxkiwi @greenlinerzjm @halalflaws I know you have religious police telling how to dress.,1,racism
